192 193 1.0
192 198 1.0
192 202 1.0
192 205 1.0
192 208 1.0
192 212 1.0
193 194 1.0
194 195 1.0
195 196 1.0
196 197 1.0
197 198 1.0
198 199 1.0
198 205 1.0
198 208 1.0
198 212 1.0
198 215 1.0
199 200 1.0
200 201 1.0
201 202 1.0
202 203 1.0
202 212 1.0
203 204 1.0
204 205 1.0
205 195 1.0
205 206 1.0
205 215 1.0
206 207 1.0
207 208 1.0
208 209 1.0
209 210 1.0
210 211 1.0
211 212 1.0
212 195 1.0
212 205 1.0
212 213 1.0
213 214 1.0
214 215 1.0
215 216 1.0
216 217 1.0
217 218 1.0
218 192 1.0
