160 161 6.0
160 191 1.0
161 162 6.0
161 191 1.0
162 163 6.0
162 191 1.0
163 164 6.0
163 191 1.0
164 165 6.0
164 191 1.0
165 166 6.0
165 191 1.0
166 167 6.0
166 191 1.0
167 168 6.0
167 191 1.0
168 169 6.0
168 191 1.0
169 170 6.0
169 191 1.0
170 171 6.0
170 191 1.0
171 172 6.0
171 191 1.0
172 173 6.0
172 191 1.0
173 174 6.0
173 191 1.0
174 175 6.0
175 176 6.0
175 191 1.0
176 177 6.0
176 191 1.0
177 178 6.0
177 191 1.0
178 179 6.0
178 191 1.0
179 180 6.0
179 191 1.0
180 181 6.0
180 191 1.0
181 182 6.0
181 191 1.0
182 183 6.0
182 191 1.0
183 184 6.0
184 185 6.0
185 186 6.0
186 187 6.0
186 191 1.0
187 188 6.0
187 191 1.0
188 189 6.0
188 191 1.0
189 190 6.0
189 191 1.0
190 160 6.0
190 191 1.0
191 174 1.0
191 183 1.0
191 184 1.0
191 185 1.0
