51 98 1.0
51 125 1.0
52 97 1.0
52 110 1.0
53 71 1.0
53 85 1.0
54 62 1.0
54 81 1.0
54 97 1.0
54 104 1.0
54 106 1.0
54 108 1.0
55 57 1.0
55 61 1.0
55 108 1.0
56 62 1.0
56 90 1.0
57 65 1.0
57 72 1.0
57 92 1.0
57 120 1.0
58 65 1.0
58 66 1.0
58 70 1.0
58 106 1.0
58 112 1.0
58 117 1.0
59 71 1.0
59 78 1.0
60 115 1.0
61 67 1.0
61 108 1.0
61 120 1.0
62 87 1.0
62 91 1.0
62 97 1.0
63 107 1.0
63 118 1.0
64 70 1.0
64 81 1.0
64 85 1.0
64 97 1.0
64 101 1.0
64 103 1.0
65 83 1.0
65 89 1.0
65 118 1.0
66 78 1.0
66 113 1.0
66 118 1.0
67 96 1.0
67 105 1.0
67 116 1.0
67 123 1.0
68 85 1.0
68 95 1.0
68 111 1.0
68 119 1.0
69 88 1.0
69 89 1.0
69 122 1.0
70 76 1.0
71 79 1.0
72 84 1.0
72 111 1.0
72 125 1.0
73 83 1.0
73 90 1.0
73 99 1.0
73 115 1.0
74 83 1.0
75 91 1.0
75 112 1.0
75 115 1.0
75 124 1.0
76 102 1.0
77 110 1.0
79 87 1.0
79 119 1.0
79 121 1.0
81 85 1.0
81 86 1.0
81 101 1.0
81 110 1.0
82 119 1.0
83 98 1.0
85 116 1.0
86 97 1.0
86 100 1.0
86 109 1.0
87 117 1.0
89 106 1.0
89 123 1.0
92 96 1.0
92 103 1.0
92 120 1.0
93 107 1.0
93 119 1.0
94 100 1.0
94 104 1.0
94 121 1.0
94 123 1.0
95 117 1.0
96 116 1.0
97 109 1.0
98 123 1.0
99 100 1.0
100 117 1.0
105 116 1.0
105 125 1.0
106 120 1.0
107 111 1.0
107 115 1.0
107 119 1.0
108 124 1.0
109 119 1.0
110 124 1.0
111 117 1.0
112 115 1.0
116 122 1.0
120 123 1.0
121 122 1.0
